tag,total,tag_false_rate
'hardcore',2,0.00531914893617
'heavy',1,0.00265957446809
'highly bloggable electro',1,0.00265957446809
'hip hop',45,0.119680851064
'hip-house',1,0.00265957446809
'hipster',1,0.00265957446809
'hollister',1,0.00265957446809
'hood',1,0.00265957446809
'hott',1,0.00265957446809
'house',28,0.0744680851064
'howie dorough',1,0.00265957446809
'i can relate',1,0.00265957446809
'iceland',1,0.00265957446809
'icelandic rock',1,0.00265957446809
'icelandic',1,0.00265957446809
'idm',2,0.00531914893617
'indie dance',6,0.0159574468085
'indie electronica',1,0.00265957446809
'indie folk',7,0.0186170212766
'indie pop',42,0.11170212766
'indie rock',42,0.11170212766
'indie',137,0.364361702128
'indie-rock',1,0.00265957446809
'indiena sound',1,0.00265957446809
'indietronic',1,0.00265957446809
'indietronica',3,0.00797872340426
'insane happiness',1,0.00265957446809
'instagram',1,0.00265957446809
'instant feel-good',1,0.00265957446809
'instrumental hip hop',1,0.00265957446809
'interesting',1,0.00265957446809
'inuit throat singer',1,0.00265957446809
'inuit',1,0.00265957446809
'ion b radio',1,0.00265957446809
'iran',1,0.00265957446809
'italian',1,0.00265957446809
'j cole',1,0.00265957446809
'j-rock',1,0.00265957446809
'jay-z',2,0.00531914893617
'jazz rap',1,0.00265957446809
'jazz',2,0.00531914893617
'jd beatty',1,0.00265957446809
'jimmy',1,0.00265957446809
'jozzylein',1,0.00265957446809
'jrock',1,0.00265957446809
'jungle',1,0.00265957446809
'justice',1,0.00265957446809
'kansas',1,0.00265957446809
'kanye west',1,0.00265957446809
'kelis',1,0.00265957446809
'kickasstic',3,0.00797872340426
'kid a-esque',1,0.00265957446809
'kill rock stars',1,0.00265957446809
'killforpeace',1,0.00265957446809
'king polar',1,0.00265957446809
'kings of convenience',1,0.00265957446809
'komotion',1,0.00265957446809
'lastfmsc',2,0.00531914893617
'legend',1,0.00265957446809
'lieder des tages',1,0.00265957446809
'life goes on',1,0.00265957446809
'liquid funk',1,0.00265957446809
'listen loud',1,0.00265957446809
'listen',1,0.00265957446809
'lo-fi',15,0.0398936170213
'los angeles',1,0.00265957446809
'love',1,0.00265957446809
'lupe fiasco',1,0.00265957446809
'lust',1,0.00265957446809
'mac miller',1,0.00265957446809
'magic female voice',1,0.00265957446809
'mainstream indie',1,0.00265957446809
'malaysia',1,0.00265957446809
'malaysian',1,0.00265957446809
'male vocalists',9,0.0239361702128
'male vocals',1,0.00265957446809
'mali',2,0.00531914893617
'mamma g radio',1,0.00265957446809
'mash-up',1,0.00265957446809
'mashcore',1,0.00265957446809
'mashup',4,0.0106382978723
'massive',1,0.00265957446809
'math rock',1,0.00265957446809
'meek mill',1,0.00265957446809
'melancholic',1,0.00265957446809
'melancholy',1,0.00265957446809
'mello music group',1,0.00265957446809
'mellow',3,0.00797872340426
'melodic punk',1,0.00265957446809
'melodic',1,0.00265957446809
'metalcore',2,0.00531914893617
'mexican mavis',1,0.00265957446809
'mfnw',1,0.00265957446809
'midwest rap',1,0.00265957446809
'mind-blowing shit',1,0.00265957446809
'minimal techno',1,0.00265957446809
'minimal',3,0.00797872340426
'minnesota',1,0.00265957446809
'missy elliott',1,0.00265957446809
'mix',1,0.00265957446809
'monster',1,0.00265957446809
'moombahton',2,0.00531914893617
'morning maniac music',1,0.00265957446809
'moving on',1,0.00265957446809
'music',1,0.00265957446809
'my 2010s',1,0.00265957446809
'my addictionz',1,0.00265957446809
'my life soundtrack',1,0.00265957446809
'names',1,0.00265957446809
'nashville',3,0.00797872340426
'need to check',1,0.00265957446809
'need to scrobble',2,0.00531914893617
'neo-psych',1,0.00265957446809
'neo-soul',1,0.00265957446809
'new york',4,0.0106382978723
'new zealand',1,0.00265957446809
'nice',1,0.00265957446809
'nick carter',1,0.00265957446809
'ninja tune',1,0.00265957446809
'no doubt',1,0.00265957446809
'noise rock',1,0.00265957446809
'noise',1,0.00265957446809
'northwest',2,0.00531914893617
'norwegian',3,0.00797872340426
'not hip hop',1,0.00265957446809
'nu disco',9,0.0239361702128
'nu rave',1,0.00265957446809
'nu-bluz',1,0.00265957446809
'nu-disco',2,0.00531914893617
'nunavut',1,0.00265957446809
'oh-cover',1,0.00265957446809
'ohio',1,0.00265957446809
'oifm',1,0.00265957446809
'old school',1,0.00265957446809
'other level',1,0.00265957446809
'party',1,0.00265957446809
'pay attention',3,0.00797872340426
'perfect',1,0.00265957446809
'philly',1,0.00265957446809
'phoenix',1,0.00265957446809
'pittsburgh',1,0.00265957446809
'playlist 2011',1,0.00265957446809
'pop',44,0.117021276596
'pop-hop',1,0.00265957446809
'post amoeba',3,0.00797872340426
'post core',3,0.00797872340426
'post grunge folk',3,0.00797872340426
'post post',3,0.00797872340426
'post rock',1,0.00265957446809
'post-dubstep',1,0.00265957446809
'post-punk',3,0.00797872340426
'post-rock',1,0.00265957446809
'post-soul',1,0.00265957446809
'power pop',2,0.00531914893617
'powerpop',1,0.00265957446809
'producer',1,0.00265957446809
'prog-rhythm and blues',1,0.00265957446809
'progresive house',1,0.00265957446809
'progressive house',5,0.0132978723404
'progressive metal',1,0.00265957446809
'psychadelic',1,0.00265957446809
'psychedelic pop',1,0.00265957446809
'psychedelic rock',13,0.0345744680851
'psychedelic',18,0.0478723404255
'psychobilly',1,0.00265957446809
'public enemy',1,0.00265957446809
'punk rock',1,0.00265957446809
'punk',8,0.0212765957447
'pure awesome',1,0.00265957446809
'quirky',2,0.00531914893617
'r&b',1,0.00265957446809
'r\xf6yksopp',1,0.00265957446809
'radio paradise',1,0.00265957446809
'radio4265',1,0.00265957446809
'radiohead office chart',1,0.00265957446809
'radioparadise',1,0.00265957446809
'rap',34,0.0904255319149
'recommended',3,0.00797872340426
'redrage keys',1,0.00265957446809
'reggae',3,0.00797872340426
'relaxing',2,0.00531914893617
'remix',6,0.0159574468085
'remixes',2,0.00531914893617
'retro electro',1,0.00265957446809
'retro-electro',1,0.00265957446809
'rhymes',1,0.00265957446809
'rhythm and blues',5,0.0132978723404
'robby fronzo',1,0.00265957446809
'robyn',1,0.00265957446809
'rock',69,0.183510638298
'rohitcagarwal',1,0.00265957446809
'romanian',1,0.00265957446809
'roots reggae',1,0.00265957446809
'russian pop',1,0.00265957446809
'russian',1,0.00265957446809
'ryan adams',1,0.00265957446809
'sad',1,0.00265957446809
'sasquatch 2011',1,0.00265957446809
'schlau machen',1,0.00265957446809
'seattle',2,0.00531914893617
'seductive',1,0.00265957446809
'selfie',1,0.00265957446809
'sennik',1,0.00265957446809
'sf',1,0.00265957446809
'shitcore',1,0.00265957446809
'shoegaze hip hop',1,0.00265957446809
'shoegaze',7,0.0186170212766
'singer-songwriter',57,0.151595744681
'situations',1,0.00265957446809
'six feet under',1,0.00265957446809
'ska',1,0.00265957446809
'skrillex',1,0.00265957446809
'sleep to this',1,0.00265957446809
'sleigh bells',1,0.00265957446809
'smooth',1,0.00265957446809
'soothing',1,0.00265957446809
'soul',10,0.0265957446809
'soundtrack',1,0.00265957446809
'southern rap',1,0.00265957446809
'southern rawbilly',3,0.00797872340426
'southern rock',3,0.00797872340426
'spacebomb',1,0.00265957446809
'spacehop',1,0.00265957446809
'spanish',1,0.00265957446809
'special',1,0.00265957446809
'state property',1,0.00265957446809
'stoner rock',3,0.00797872340426
'stoner',2,0.00531914893617
'stones throw',1,0.00265957446809
'street punk',5,0.0132978723404
'summer tune',1,0.00265957446809
'summer',3,0.00797872340426
'summerfeeling',1,0.00265957446809
'summertime',2,0.00531914893617
'surf rock',1,0.00265957446809
'surf shit',1,0.00265957446809
'swag',1,0.00265957446809
'swedish',4,0.0106382978723
'sxsw 2010s',1,0.00265957446809
'sxsw2007',1,0.00265957446809
'sydney',1,0.00265957446809
'synthpop',10,0.0265957446809
'tech house',1,0.00265957446809
'techno',1,0.00265957446809
'teh typos',1,0.00265957446809
'tempe',1,0.00265957446809
'the bedford',1,0.00265957446809
'the merch grrls',1,0.00265957446809
'the wanted',1,0.00265957446809
'thesixtyone',1,0.00265957446809
'throat singer',1,0.00265957446809
'throat singing',1,0.00265957446809
'times ten',1,0.00265957446809
'tipicos topicos',1,0.00265957446809
'today',1,0.00265957446809
'todorcicl',1,0.00265957446809
'tonder festival 2008',1,0.00265957446809
'top quality',1,0.00265957446809
'townes van zandt',1,0.00265957446809
'townes',1,0.00265957446809
'trance',1,0.00265957446809
'trap',2,0.00531914893617
'trip hop',1,0.00265957446809
'trip-hop',1,0.00265957446809
'trippy',3,0.00797872340426
'tropical',1,0.00265957446809
'true blood',1,0.00265957446809
'try',1,0.00265957446809
'twangy',1,0.00265957446809
'twee',1,0.00265957446809
'uk funky',1,0.00265957446809
'uk',2,0.00531914893617
'under 2010s0 listeners',1,0.00265957446809
'under 5000 listeners',1,0.00265957446809
'underground hip hop',7,0.0186170212766
'underground rap',1,0.00265957446809
'united kingdom',1,0.00265957446809
'united states',1,0.00265957446809
'upbeat',1,0.00265957446809
'uplifting',1,0.00265957446809
'valerie',1,0.00265957446809
'vampire weekend',1,0.00265957446809
'vaporwave',1,0.00265957446809
'viabytefm',1,0.00265957446809
'vintage',1,0.00265957446809
'violent femmes',1,0.00265957446809
'visual kei',1,0.00265957446809
'vocal',1,0.00265957446809
'warm veins',1,0.00265957446809
'we are breathless',1,0.00265957446809
'weird canada',1,0.00265957446809
'west coast',2,0.00531914893617
'winter',1,0.00265957446809
'wiz khalifa',1,0.00265957446809
'wonky',1,0.00265957446809
'world music',1,0.00265957446809
'world',2,0.00531914893617
'www daytrotter sessions',1,0.00265957446809
'xavier',1,0.00265957446809
'xv',1,0.00265957446809
'years',1,0.00265957446809
'yonas music',1,0.00265957446809
'yonas rapper',1,0.00265957446809
'yonas',1,0.00265957446809
'zajebiste',1,0.00265957446809
