tag,total
'cute',1
'd',1
'daft punk',1
'damn',1
'dance party',1
'dance-punk',1
'danceable',1
'dar paklausyti daugia',1
'dark',1
'dark-ish',1
'darkcore',1
'darkwave',1
'dayton',1
'daytrotter',1
'dbt',1
'dc',1
'death metal',1
'death remix',1
'def jam',1
'def jux',1
'definitive jux',1
'diana',1
'diddy',1
'diplo',1
'diplomats',1
'dirty electro',1
'dirty',1
'disco influence',1
'discovery',1
'dizzy',1
'dj dumbass',1
'dj premier',1
'djb glastonbury 2011',1
'doomcore',1
'dope beat',1
'dope',1
'dopeness',1
'downbeat',1
'dream team',1
'dreamwave',1
'drive-by truckers',1
'drone',1
'drugs',1
'drums',1
'dsdsds',1
'dubstep remix filthy',1
'dubstep rmx',1
'duo',1
'dup',1
'dupstep',1
'dutch house',1
'e-dubble',1
'earworm',1
'ed banger records',1
'effing awesome',1
'electro pop',1
'electro swing',1
'electro-melancholy',1
'electro-pop',1
'electro-swing',1
'electrohouse',1
'electronic indie',1
'electronic music',1
'electronic-lounge',1
'electrosexy',1
'electroswing',1
'enak gila',1
'endless repeat',1
'energetic',1
'england',1
'enigmatic',1
'epic remix',1
'epicness',1
'exboyfriend',1
'excelente',1
'excellent song',1
'exogaze',1
'explicit',1
'f50 2011',1
'fav bass lines',1
'fave indie pop',1
'favourite cover',1
'favourites',1
'favs',1
'featuring',1
'feel good songs',1
'feist',1
'fem rap',1
'female singer',1
'female vocals',1
'female-vocalist',1
'fidget house',1
'fifa 2010s',1
'fip',1
'fleet foxes',1
'fluorescent',1
'flute',1
'flya electronica groovy',1
'flya electronica',1
'foda',1
'folksy deliciousness',1
'folktronic',1
'for keeps',1
'for later',1
'fotomotor-work',1
'four tet remixes',1
'four tet',1
'francais',1
'francaisgdchill',1
'france',1
'fred falke remix',1
'fred falke',1
'free-hop',1
'fresh',1
'fuck em billy',1
'fuck yeah',1
'fuck yo',1
'fucking awesome',1
'fucking brilliant',1
'fucking good',1
'full stops',1
'fun music',1
'funky prog house',1
'future garage',1
'g-eazy',1
'gabber',1
'gang starr',1
'garage psychedelic',1
'garage-hop',1
'getupanddance',1
'gh',1
'ghettotech',1
'gilbert',1
'glam rock',1
'golephish',1
'good hip hop',1
'good stuff',1
'good tims',1
'good',1
'gorgeousness',1
'gossip girl soundtrack',1
'gossip girl',1
'got that feeling',1
'grafton primary',1
'great coverversion',1
'great memories',1
'great',1
'greensboro',1
'groove nation',1
'groove',1
'grove punk',1
'guardian new music',1
'gute laune',1
'gute stimme',1
'hammer stimmer',1
'hand clapping',1
'happy dance',1
'happy face',1
'hard-pop',1
'hardcore techno',1
'hassanmcmillan',1
'haunting',1
'heart shivers',1
'heisse scheibe',1
'herz an ohr',1
'high contrast',1
'highly bloggable electro',1
'hip house',1
'hip-house',1
'hipster dance party',1
'hipster',1
'hollister',1
'home',1
'hood',1
'hope',1
'horns',1
'hospital',1
'hot shit',1
'hott',1
'hous',1
'houston',1
'howie dorough',1
'hypnotic',1
'hypnotizing',1
'i can relate',1
'i like',1
'iceland',1
'icelandic rock',1
'ill track',1
'indie electro',1
'indie electronica',1
'indie hip hop',1
'indie sample',1
'indie-rock',1
'indiena sound',1
'indietronic',1
'insane happiness',1
'inspectah deck',1
'instagram',1
'instant feel-good',1
'instrumental hip hop',1
'interesting',1
'interpol',1
'inuit throat singer',1
'inuit',1
'iowan',1
'ipod',1
'iran',1
'j cole',1
'j-rock',1
'japan',1
'jason schwartzman',1
'jazz hop',1
'jazz rap',1
'jazz-hop',1
'jd beatty',1
'jimmy',1
'john legend',1
'john mayer',1
'johnny cash',1
'jozzylein',1
'jrock',1
'juddery bass',1
'juicy remix',1
'julian plenti',1
'jungle',1
'justice',1
'k os',1
'k-os',1
'kansas city',1
'kansas',1
'kanye west',1
'keep the fate',1
'kelis',1
'kick-ass',1
'kid a-esque',1
'kid cudi',1
'kill rock stars',1
'killa cam',1
'killforpeace',1
'king polar',1
'kings of leon',1
'kitsune',1
'komotion',1
'krautrock',1
'la roux',1
'leapsandleeloo',1
'legend',1
'liebling',1
'lieder des tages',1
'life goes on',1
'life is easy',1
'listen',1
'little lion man',1
'little miss sunshine',1
'live',1
'lizvelrene2009',1
'lobhigio',1
'lollapalooza 2009',1
'london',1
'lou reed',1
'love',1
'lust',1
'lykke li',1
'm70rock',1
'mac miller',1
'macbook air',1
'machinery',1
'magic female voice',1
'mainstream indie',1
'malaysia',1
'malaysian',1
'male vocal',1
'male vocalist',1
'mamma g radio',1
'mase',1
'mash-ups',1
'mashcore',1
'massive',1
'masterpiece',1
'mateuszbestsongseva',1
'math rock',1
'maurice',1
'mdv',1
'mediocre song-great remix',1
'meek mill',1
'melancholic',1
'mello music group',1
'melodic punk',1
'melodic',1
'melody maker',1
'memories',1
'mesmerizing',1
'metric',1
'mexican mavis',1
'mgmt',1
'mgmt:',1
'midwest rap',1
'miguel',1
'miike snow',1
'mind-blowing shit',1
'mind-melting',1
'minimal techno',1
'minneapolis',1
'missingtoof',1
'missy elliot cover',1
'missy elliott',1
'mix',1
'mixtape',1
'modest mouse',1
'monster',1
'monte carlo nightss',1
'mood:confident',1
'moonflowerlikes',1
'moosecore',1
'mother american night',1
'motivational',1
'movie',1
'moving on',1
'mpsvd-luisterpaal-j',1
'mstrkrft',1
'mushy',1
'musical poetry',1
'my 2010s',1
'my addictionz',1
'my best',1
'my shit',1
'names',1
'narrative',1
'nba',1
'need to check',1
'need to rate',1
'neo soul',1
'neo-psych',1
'neo-psychedelia',1
'new age',1
'new british invasion',1
'new music',1
'new soul',1
'new weird america',1
'nick and norah',1
'nick carter',1
'night driving',1
'night music',1
'niiiiiice',1
'ninja tune',1
'nix vocalising',1
'no doubt',1
'noise rock',1
'noise',1
'north carolina',1
'nos3',1
'nostalgia',1
'not hip hop',1
'notorious big',1
'nu-bluz',1
'nu-folk',1
'nunavut',1
'nurave',1
'nz',1
'oasis',1
'oh my',1
'oh-cover',1
'ohfuck',1
'ohio',1
'ohmondie',1
'oifm',1
'old school',1
'old-time revival',1
'on the floor',1
'one tree hill',1
'ost',1
'otis redding',1
'outkast',1
'parody',1
'partay',1
'party ambience',1
'party time',1
'percussion',1
'perfect',1
'personal favourites',1
'perth',1
'philadelphia',1
'pittsburgh',1
'play it loud',1
'playlist 2011',1
'poka',1
'polish',1
'pop-folk',1
'pop-hop',1
'posh',1
'post-dubstep',1
'post-soul',1
'powerpop',1
'premium',1
'pretty excellent remix',1
'producer',1
'prog-rhythm and blues',1
'progresive house',1
'progressive metal',1
'progressive rock',1
'progressive',1
'prominent percussion',1
'proper songs',1
'proto-punk',1
'psychadelic',1
'psychedelic pop',1
'psychedelic soul',1
'pub rock',1
'public enemy',1
'pure awesome',1
'pursuit of happiness',1
'radio nova',1
'radio phantom zone',1
'radio',1
'radio4265',1
'radioeins',1
'radiohead office chart',1
'radiohead',1
'rap hip hop',1
'rave',1
'reassuring',1
'redlight remix',1
'redlight',1
'redrage keys',1
'refixed',1
'regina spektor',1
'rel-mnth:2010s:november',1
'relax',1
'relaxed',1
'relaxin',1
'remixxx',1
'repeatrepeatrepeat',1
'retro electro',1
'retro-electro',1
'revientapistas',1
'revoir',1
'revolutionary',1
'rhymefest',1
'rhymes',1
'ridiculous',1
'riding-my-bike',1
'road trip music',1
'robby fronzo',1
'robyn',1
'rock band',1
'rockabilly',1
'rohitcagarwal',1
'rolling stones',1
'romanian',1
'romantic',1
'roots reggae',1
'roskilde 07',1
'roskilde 2007',1
'running',1
'rusko',1
'russian pop',1
'russian',1
'ryan adams',1
'sadandslow',1
'sam adams',1
'samoanz',1
'sample based',1
'sampled based',1
'sampling',1
'sasquatch 2011',1
'schlau machen',1
'scottish',1
'scratch',1
'seductive',1
'selfie',1
'sennik',1
'sex android',1
'sex on fire',1
'sf',1
'shimmery',1
'shit i adore',1
'shit is official',1
'shitcore',1
'shitty anal gaycore',1
'shoegaze hip hop',1
'sigur ros',1
'silvia',1
'singer/songwriter',1
'situations',1
'six feet under',1
'ska punk',1
'skinny',1
'skrillex',1
'sleep to this',1
'sleep',1
'sleeping',1
'sleigh bells',1
'slug-o',1
'snowboard',1
'so cute',1
'so fucking cool',1
'so funky',1
'sooooooooo goooooodddd',1
'soulful house',1
'soulnetwork-co-uk',1
'soundscapes',1
'southern',1
'spacebomb',1
'spacehop',1
'spain',1
'spanish',1
'special',1
'ss',1
'stargate universe',1
'stargate',1
'state property',1
'stones throw',1
'stones',1
'strings and horns',1
'strings',1
'stripper tune',1
'sublime',1
'sufjan stevens',1
'summer 2011 playlist',1
'summer tracks',1
'summer tune',1
'summer vibes',1
'summerfeeling',1
'sun city',1
'sunny drive',1
'sunny',1
'sunshine',1
'superb',1
'surf pop',1
'surf shit',1
'surprisingly good',1
'sveglia dolce',1
'swag',1
'sweet cover',1
'sweet harmony',1
'swing hop',1
'swinghouse',1
'sxsw 2007',1
'sxsw 2009',1
'sxsw 2010s',1
'sxsw discovery',1
'sydney',1
'talk',1
'taproom remix',1
'taraaa',1
'tech house',1
'teh typos',1
'tempe',1
'terrifilicious',1
'the bedford',1
'the black keys',1
'the city life',1
'the elements',1
'the good stuff',1
'the jackson five',1
'the knocks',1
'the merch grrls',1
'the notorious big',1
'the prayer',1
'the presets',1
'the velvet underground',1
'the wanted',1
'thesixtyone',1
'thrashgrass',1
'throat singer',1
'throat singing',1
'thug-rap',1
'tiamo',1
'times ten',1
'to check out',1
'today',1
'todorcicl',1
'tofind',1
'top 40',1
'torun',1
'townes van zandt',1
'townes',1
'transcending',1
'transmusicales',1
'triphop',1
'true blood',1
'trumpet',1
'trumpets',1
'try',1
'tune',1
'turquoise and coral',1
'twangy',1
'twilight',1
'u2 cover',1
'u2',1
'ugk',1
'uk funky',1
'uk hip hop',1
'ultimate sexellence',1
'under 2010s0 listeners',1
'under 5000 listeners',1
'united kingdom',1
'united states',1
'universal',1
'uswag',1
'valerie',1
'vampire weekend',1
'van she',1
'vaporwave',1
'vertic',1
'very chill',1
'very good',1
'viabytefm',1
'video game sounds',1
'videogame',1
'vintage kanye production',1
'vintage',1
'violent femmes',1
'violin',1
'visceral',1
'visual kei',1
'vocal harmony',1
'vocal',1
'wale',1
'walkman music',1
'warm veins',1
'we are breathless',1
'weed mentioned',1
'weed smokers anthem',1
'weird canada',1
'weird',1
'what a cover',1
'white rabbits',1
'whitest boy alive',1
'wilco',1
'wiz khalifa',1
'women',1
'woody guthrie',1
'world music',1
'www daytrotter sessions',1
'xaphoon jones',1
'xavier',1
'xv',1
'yacht',1
'yael naim',1
'yap',1
'yeah',1
'years',1
'yes means no',1
'yes',1
'yodeling',1
'yonas music',1
'yonas rapper',1
'yonas',1
'young money',1
'yum',1
'yyeeeessssss',1
'zajebiste',1
'zeds dead',1
'zierkafasza',1
'zipcodes',1
'zone',1
'zum-durch-den-ikea-poebeln',1
"u""death'n'roll""",1
