artist,loved_count,mediaid,posted_count,sitename,time,title,loved,artist_index_mod,site_index_mod
"Astronauts, etc.",3786,2b54c,22,Indie For Bunnies,230,No Justice,False,0.0,0.0
OutKast,5012,2b6yd,3,Your Music Radar,194,Roses (PLS&TY Remix),True,0.0,0.0
Janet Jackson,908,2bzsd,10,Secret Delivery,206,No Sleeep,False,0.0,0.0
The Drums,396,265r5,2,KEXP Blog,290,I Can't Pretend,False,0.5,0.0
American Authors,13832,229ha,8,I Heart Moosiq,292,Best Day Of My Life (Just A Gent Remix),False,0.0,0.0
Astrid S,5121,2b9zs,3,JayeL Audio Music,235,2AM (Matoma Remix),False,0.0,0.0
BebeRexha,2215,28h1t,4,Electric Panda Music,208,I'm Gonna Show You Crazy,False,0.0,0.0
Ishinohana,3162,2aybj,8,Electrocorp ,317,Lucía (John Talabot's Sunset edit),False,0.0,0.0
Oh Wonder,3771,2b8z0,10,gottadancedirty,263,Midnight Moon (Melvv Remix),False,0.0,0.0
Sia,7158,2bbc8,3,Your Music Radar,216,California Dreamin,True,0.0,0.0
TroyBoi,2843,2ba6s,2,Indie Shuffle,201,Do You feat. Armani White (Remix),False,0.0,0.0
diplo,8178,2baq6,18,Never Radio,285,Bitch Better Have My Money (Diplo & Grandtheft Remix)OFFICIAL,False,0.0,0.0
Tove Lo,6349,2b92r,4,JayeL Audio Music,278,Talking Body (Jax Jones Remix),False,0.0,0.0
Gigamesh,5329,2b9xa,9,The Jackplug,291,The Music,False,0.0,0.0
Years and Years,5799,2b8xm,28,Getintothis,254,Shine,False,0.0,0.0
Lemon.,715,2c063,4,"Quick, Before It Melts.",165,Better For You,False,0.0,0.0
Moullinex,796,2c03e,7,Y Este Finde Que,370,Take A Chance (Satin Jackets Remix),False,0.0,0.0
Courtney Barnett,493,29w6h,4,said the gramophone,293,Depreston,True,0.0,0.0
Tuxedo,415,2c1r6,6,The French Shuffle,238,Without Your Love,False,0.0,0.0
Dusky,495,2bznk,6,Mixmag,384,Skin Deep,True,0.0,0.0
Mammút,143,229wz,14,MusikBlog,345,Salt,False,0.0,0.0
Monster Rally,316,247x6,2,music islands,219,Chin-don-ya,True,0.0,0.0
Kelis,792,23px8,10,Indie Shuffle,315,'Runnin' (Machinedrum Remix),False,0.0,0.0
Wiz Khalifa Feat. Charlie Puth,5360,2azcr,5,EDM Girl,223,See You Again (Ale Mora Remix),False,0.0,0.0
ALESSIA,11457,2b0gs,21,J(am) of the Day,200,HERE,False,0.0,0.0
The Roots,4073,1f5yf,37,AudioCred,272,Make My,True,0.0,0.0
LIPS,6403,1ffe4,10,EARMILK,244,Everything To Me (Adventure Club Dubstep Remix),True,0.0,0.0
In The Valley Below,4128,1rmtg,5,Indie Shuffle,287,Peaches,True,0.0,0.0
Ratatat,7808,4t74,43,TheMusic.FM,266,Seventeen Years,True,1.0,0.0
poka,1235,1410v,3,Delicieuse Musique,248,99 style,True,0.0,0.0
The Knocks,775,skyq,10,Cities of the Plain,279,Can't Shake Your Love,False,0.3,0.0
Trampled By Turtles,1476,110ex,15,SUCKA PANTS,205,Wait So Long,True,0.0,0.0
Oasis,1763,45qw,17,Popdose,290,Don't Look Back in Anger,True,1.0,0.0
French Montana,665,2c10q,5,Discobelle,229,Gucci Mane (feat. Lil Wayne & Rick Ross) (prod. by Kanye West),True,0.0,0.0
Harrison Brome,2310,2bq1c,10,Indie Underground,218,Fill Your Brains (Master),False,0.0,0.0
Chance The Rapper,1207,296pt,2,Inyourspeakers Media,225,Sunday Candy Feat. The Social Experiment,False,0.0,0.0
Iron & Wine and Ben Bridwell,2423,2bzr3,18,Revista Metrónomo,213,This Must Be The Place (Naive Melody),False,0.0,0.0
BECOME X Elohim,2052,2c0y2,13,acid stag,160,She Talks Too Much,False,0.0,0.0
COMPNY,1565,2bzm1,25,Little Indie Blogs,233,Gently Let You Down,True,0.0,0.0
Years & Years,4084,2c221,4,POP ON AND ON,240,King (Lash Remix),False,0.0,0.0
Little Giants,4678,2c228,5,Lipstick Disco,320,"Lately (Love, Love, Love) (Monsieur Adi Remix)",False,0.0,0.0
Favored Nations,2008,2by5n,6,Wonky Sensitive,211,Always,False,0.0,0.0
Fatima,355,24te4,1,Don't Need No Melody,325,Biggest Joke Of All,False,0.0,0.0
SZA feat. Chance The Rapper,7013,23c5d,42,The 405,216,Childs Play,False,0.0,0.0
Addal feat. Lisa May,3152,2c08j,5,Beautiful Buzzz,325,Morning In Love (Original Mix),False,0.0,0.0
Will Joseph Cook,2255,2c0vf,22,Beat2aChord,177,Beach,False,0.0,0.0
Shura,966,2bzty,10,DIY,443,White Light (Gabe Gurnsey Factory Floor Remix),False,0.0,0.0
Kendrick Lamar,6377,2c2a8,3,Music You Wanna Listen To,204,i (Carneyval & INSTRUM Remix),False,0.0,0.0
The Weeknd,2452,2c298,2,Caveman Sound,300,Can't Feel My Face (Keljet Edit),False,0.0,0.0
"Kehlani, G-Eazy, IAMSU! and Lil B",2205,2bzxz,6,The Passion of the Weiss,235,Champion (Prod. by P-Lo),True,0.0,0.0
Lewis Del Mar,6697,2c0xq,13,Sonofmarketing,249,Loud(y),False,0.0,0.0
The Internet Music,3556,2c0ae,17,alltomorrowmusic,416,Girl feat. KAYTRANADA,True,0.0,0.0
Saint Motel,2741,2c15e,8,Audio Aquarium,280,My Type (Eau Claire Remix),False,0.0,0.0
RÜFÜS / RÜFÜS DU SOL,6536,2c1vt,14,Audio Drums,239,You Were Right,True,0.0,0.0
Little Giants,8122,2aynk,10,Abduction Radiation,212,"Lately (Love, Love, Love)",False,0.0,0.0
Discovery,3643,sqpk,40,Indieball,193,So Insane,False,0.666666666667,0.0
"Drake Feat. Kanye West, Lil Wayne & Eminem",2418,v81m,8,Citizen Insane,359,Forever,True,0.0,0.0
Röyksopp,4965,27mzc,10,music is art,396,Thank You,False,0.0,0.0
Mitski,138,26mqp,13,Music Broke My Bones,205,Townie,True,0.0,0.0
Sea Oleena,997,25z92,32,Just Music That I Like,311,If I'm,False,0.0,0.0
Otis Redding,399,26eye,1,Yaqui,232,Sittin On The Dock Of The Bay (TEEMID Edit),True,1.0,0.0
Ratatat vs. Marvin Gaye,8067,1agk1,4,EARMILK,206,Ain't No Drugs High Enough The Jane Doze mashup),True,0.0,0.0
Daft Punk,1616,smtq,6,earmilk,322,Face to Face (Night Drugs Rework),False,0.0,0.6
Kid Cudi,22539,1b9zx,13,Indie Shuffle,164,Falling Star (R3K Remix),True,1.0,0.666666666667
Beirut,6201,6fnn,78,Stereofox,257,Postcards From Italy,True,0.0,0.0
The Pharcyde,15218,205k2,19,Lautstark,290,Runnin' (Bit Funk Remix),True,0.0,0.0
Crooked Colours,2848,204z0,16,music is art,215,Come Down,True,1.0,0.0
UGK,2581,11f4z,23,The Music Ninja,257,Int'l Players Anthem (Feat. OutKast),True,0.0,0.0
Florence & The Machine,4749,27170,9,EDM Girl,263,You've Got The Love (Prince Fox Remix),False,0.0,0.0
Fake Blood,3542,12nm7,19,Penned Madness,319,I Think I Like It (Tommie Sunshine & Figure EC$TACY edit),True,0.0,0.0
Skrillex,9475,176za,17,aerial noise,305,Cat Rats,True,0.0,0.0
Clean Bandit & Jess Glynne,7273,26xhz,14,JayeL Audio Music,219,Real Love,False,0.0,0.0
Jaymes Young,6180,26x11,8,Ladywood ,250,I'll Be Good,False,0.0,0.0
Frankie Cosmos,187,22ky1,2,"Song, by Toad",93,My I Love You,False,0.0,0.0
HAERTS,2326,26by0,31,Indie Obsessive,258,Giving Up,False,0.0,0.0
Run The Jewels,4203,26khp,47,Too Much Love Magazine ,214,Oh My Darling Don't Cry,False,0.0,0.0
Bombay Bicycle Club,4826,21kgk,29,SFCritic,191,Luna,False,0.0,0.0
Tanya Tagaq,154,24s65,12,Chicago Reader,169,Uja,False,0.0,0.0
Steve Gunn,346,25e7m,14,Earbuddy,334,Milly's Garden,False,0.0,0.0
Starfoxxx,684,2651y,3,Electric Panda Music,309,Bae HD,False,0.0,0.0
Careful,244,1n80b,7,KEXP Blog,178,It's Funny,False,0.0,0.0
Aphex Twin,1077,26dqh,42,Wondering Sound,288,minipops 67 (120.2)(source Field Mix),False,0.0,0.0
Chester French,1502,td31,11,the burning ear,354,She Loves Everybody (Pance Party Remix),False,0.0,0.0
Public Enemy,3782,tjvw,4,The Music Ninja,287,He Got Game,False,0.0,0.0
Sean Nicholas Savage,321,22m21,11,Dots & Dashes,226,Naturally,False,0.0,0.0
Maiday,5310,285hh,10,The 405,218,Wish You'd Met Me First,False,0.0,0.0
Allo Darlin',488,260dr,21,Berkeley Place,172,Romance And Adventure,False,0.0,0.0
Baauer,12526,27ehz,28,Pilerats,215,One Touch feat. AlunaGeorge & Rae Sremmurd,False,0.0,0.0
Miguel feat. Wale,13442,239bn,8,Guilty Feet Have Got No Rhythm,314,Bennie and the Jets,True,0.0,0.0
Cage the Elephant,7853,16hr5,12,Richmond Playlist,212,Shake Me Down,True,0.0,0.0
Jay-Z & Beanie Sigel,2592,rhs4,5,djnodj,229,Glock Nines (Ratatat Remix),False,0.0,0.0
Whilk and Misky,16120,27qph,12,Inyourspeakers Media,318,Babe I'm Yours,False,0.0,0.0
Kanye West vs. Sam Smith,14241,27x6p,11,Wake the Deaf,266,Tell Me I'm The Only One (Carlos Serrano Mix),False,0.0,0.0
Electric Wire Hustle,6169,w4d2,26,Beaver on the Beats,269,They Don't Want,True,0.0,0.0
The Drums,2535,1e7j4,5,The Digital Outhouse,269,Days,True,0.5,1.0
Lupe Fiasco,4997,1993j,10,Fuck yeah! Go team!,221,All Black Everything,True,0.75,0.0
Beach House,2734,17a3h,82,Chromewaves,209,I Do Not Care For The Winter Sun,True,0.0,0.0
The Flaming Lips,399,emqs,10,JP's Blog,399,Bohemian Rhapsody (Queen Cover),False,0.0,0.0
Florence + The Machine,37992,wm2h,154,djnodj,344,You've Got The Love (The XX Remix),True,0.5,0.666666666667
Chairlift,8374,kabk,49,The New LoFi,242,Bruises,True,0.0,0.0
The Heavy,3832,xbmh,11,"Safety, Fun & Learning",217,How You Like Me Now?,True,1.0,0.0
The Flavour,2886,1b0e2,3,Schitz Popinov,176,Sex on Fire ( Reggae Cover ),True,0.0,0.0
Foster The People,4356,1agyw,6,the burning ear,218,Pumped Up Kicks (The Knocks Remix),True,0.0,0.625
Jaymes Young,2727,26txn,5,Sunset in the Rearview,221,What Should I Do,False,0.0,0.5
Cold War Kids,21074,26a2r,21,Never Radio,201,First,False,0.0,0.0
Kings of Convenience,5197,tqc7,17,Et Musique Pour Tous,258,I Don't Know What I Can Save You From (Röyksopp Remix),True,1.0,0.4
Ludacris vs Ke$ha,1929,112sm,2,20 Watts,204,$hwagger Jagger (Pres Mashup),True,0.0,0.0
Joey Bada$$,5729,26vk9,16,Pilerats,237,Get Paid,False,0.0,0.0
Mating Ritual,5493,26ngg,19,Audio Drums,188,Toxins,False,0.0,0.0
T.I.,4833,26tj0,10,Different Kitchen,206,No Mediocre feat. Iggy Azalea (Grandtheft Remix),False,0.0,0.0
TULA home,6573,26vjs,10,grinzao,226,Wicked Game,False,0.0,0.0
Lupe Fiasco,2385,zk4s,6,Dipped in Dollars,240,What U Want,True,0.75,0.0
Otis Redding,4109,8fyp,15,THE VINYL VILLAIN,162,(Sittin' On) The Dock Of The Bay,True,1.0,0.666666666667
Of Montreal,2462,ec8e,21,Music From Go to Whoa,231,Jimmy,False,0.0,0.0
Vampire Weekend,12814,q66h,28,Sunset in the Rearview,294,The Kids Don't Stand A Chance,False,0.75,0.5
Goldroom,1006,23tcs,3,Poetry in an Empty Coke Can,279,Embrace (backstroke. Remix),False,0.0,0.0
TĀLĀ,1564,26t41,40,Stamp The Wax,201,Alchemy,False,0.0,0.0
The Knocks,2056,26n5b,5,JayeL Audio Music,297,Classic (DiscoTech Remix) - Big Beat,False,0.3,0.222222222222
Kings Of Convenience,2248,63cw,14,Indie Shuffle,235,Know How (featuring Feist),False,0.5,0.666666666667
HAERTS,3026,20cjh,25,Cougar Microbes,320,Wings (Shlohmo Remix),False,0.0,0.2
Aphex Twin,2012,26qkp,3,said the gramophone,322,Aisatsana,False,0.0,0.333333333333
GoldLink,1516,23hn5,7,Silence Nogood,164,Bedtime Story (Prod. Louie Lastic),False,0.0,0.0
Justice,927,vc74,8,Vacay Wave,318,We Are Your Friends (Barretso Remix),True,0.333333333333,0.25
Thrupence,2026,26w7s,23,Deftune,248,Silk,False,0.0,0.0
Yellerkin,2362,26rsp,33,Operation Every Band,261,Tools,False,0.0,0.0
FOYNES(nicholas basquiat),2131,26tvt,4,I Heart Moosiq,215,Protect (Feat. Antony & Cleopatera) (Foynes Remix),False,0.0,0.0
YOUNG & SICK,2320,26vkp,10,Salacious Sound,282,Breathe (Télépopmusik Cover),False,0.0,0.0
kp.,2411,26px0,9,I Heart Moosiq,241,where did you go,False,0.0,0.0
ODESZA,8395,26t7k,11,acid stag,198,Say My Name (feat. Zyra) (cln Remix),False,0.0,0.0
Dirty South,2328,26tye,7,Dancing Astronaut,274,Unbreakable (Elephante Remix),False,0.0,0.0
alt-J,15821,261f8,57,The Devil Has The Best Tuna,216,Every Other Freckle,False,0.0,0.0
Felix Jaehn feat. Chris Meid,4900,26tvp,11,JayeL Audio Music,248,One Last Time Remix,False,0.0,0.0
Lorde,6155,26wg0,4,Earbuddy,233,Yellow Flicker Beat,False,0.0,0.0
RAC,4166,26mpj,9,Chubby Beavers,265,Cheap Sunglasses feat. Matthew Koma (Two Friends Remix),False,0.0,0.0
Blur,1988,tet1,4,indie shuffle,319,Song 2 (Vengeance Remix),True,1.0,1.0
Flying Lotus,1283,j17x,9,Sunset in the Rearview,186,Robo Tussin feat. Lil Wayne.aif 15.41.55PM,True,0.0,0.0
Okkervil River,22,1a8tr,3,Salad Days Music,206,Wake And Be Fine,True,0.25,0.0
The Felice Brothers,57,1aajv,11,The Key,305,Ponzi,True,0.0,0.0
Violent Femmes,2616,1faj,34,THE VINYL VILLAIN,145,Blister in the Sun,False,0.0,0.0
Generationals,6335,sk35,59,Austin Town Hall,200,"When They Fight, They Fight",False,0.0,0.0
Phoenix,13698,qp90,139,Ca Va Cool,198,1901,True,0.909090909091,0.0
Kid Cudi,15386,vhfh,30,The New LoFi,295,Pursuit of Happiness (Feat. MGMT And Ratatat),True,1.0,0.714285714286
TOURIST,15736,22ejp,41,REDEFINE magazine,271,I Can't Keep Up (feat. Will Heard),False,0.0,0.0
Porter Robinson,7438,236gd,23,JayeL Audio Music,368,Sea Of Voices (RAC Mix),False,0.0,0.0
Lykke Li,13483,2374v,45,Cougar Microbes,221,No Rest For The Wicked,False,0.0,0.0
D.veloped,16128,1g7c9,12,djnodj,206,Bring Em Home (Edward Sharpe // T.I.),True,0.0,0.0
THE NIGHT VI,3983,236d7,44,DrunkenWerewolf,225,Sienna,False,0.0,0.0
London Grammar,4795,23781,34,Twee Huizen Verder,346,Hey Now (Bonobo Remix),False,0.0,0.0
Haim,3812,236m2,15,the burning ear,359,If I Could Change Your Mind (The Knocks Remix),False,0.0,0.0
SAFIA,9707,236kx,28,Site of Sound,266,"Paranoia, Ghosts & Other Sounds",False,0.0,0.0
D.VELOPED,6327,1f3cm,5,Sunset in the Rearview,261,My Dangerously Melodic Anthem,False,0.0,0.0
EMBRZ,9753,1z1vr,14,nialler9,322,Make Your Way,False,0.0,0.0
Solid Gold,630,mrhv,10,Both Sides of the Mouth,258,Who You Gonna Run To?,True,0.0,0.0
Young Jeezy,1649,1fz16,8,AudioCred,312,I Do (Featuring Jay-Z & Andre 3000 ) (No Tags),True,0.0,0.0
Phoenix,2097,s486,27,The Indie Music Database,242,Lisztomania,False,0.909090909091,0.0
Two Door Cinema Club,1317,r4gh,12,The Pop Cop,167,"Hands Off My Cash, Monty",False,0.666666666667,0.0
The Verve Vs. Jay-Z,8575,w7mw,12,A Pocket Full Of Seeds,304,Brush Your Bitter Sweet Shoulders Off,False,0.0,0.0
James Bay,16979,23wf2,23,Spectrum Culture,261,Let It Go,False,0.0,0.0
Jurassic 5,7392,24jdj,5,Musikfar,229,The Way We Do It,False,0.0,0.0
Passion Pit,2316,rtw7,7,melophobe,212,Let Your Love Grow Tall,False,0.75,0.0
Röyksopp,3080,pdpr,28,JP's Blog,163,Happy Up Here,False,0.0,0.25
Saint Etienne,1617,1kze6,4,Vacay Wave,389,I've Got Your Music (Golden Filter Remix),False,0.0,0.0
Thomas Jack,7295,205r0,10,Stoney Roads,539,Symphony (Original Mix),False,0.0,0.0
SkizTheRapper,693,1gght,7,The Jackplug,215,Shangri-La,True,0.0,0.0
Madeon,3425,1f545,1,blahblahblahscience,104,Icarus,True,0.0,0.0
Santogold,3678,j6kn,33,the culture of me,160,I'm A Lady (Diplo Mix Ft Amanda Blank),False,0.0,0.0
thvn,1893,234rw,6,Sirens of Decay,230,toxic,False,0.0,0.0
Zeds Dead & Omar LinX,2361,1m1bd,9,White Folks Get Crunk,284,NO PRAYERS (KEYS N KRATES RMX),True,0.0,0.0
The War On Drugs,12642,20xm4,139,Inyourspeakers Media,299,Red Eyes,False,0.0,0.0
Jaymes Young,18783,238f5,21,JayeL Audio Music,214,Habits Of My Heart (Sufjan Stevens Remake),False,0.0,0.222222222222
JUNGLE,6508,22m26,70,Abeano Music,180,Busy Earnin',False,0.0,0.0
Ben Khan,4085,237kw,55,When The Gramophone Rings,198,Youth,False,0.0,0.0
Zella Day,3451,236fk,32,West Coast Fix,222,1965,False,0.0,0.0
"Steve Aoki, Diplo & Deorro",4267,236tz,6,Dancing Astronaut,281,Freak (feat. Steve Bays),False,0.0,0.0
Eminem,5802,207bj,3,Earbuddy,265,Beautiful Pain feat. Sia,False,0.333333333333,0.0
Mapei,25978,1zm6w,50,Faded Glamour,215,Don't Wait,True,0.0,0.0
Azealia Banks,14712,1z53b,25,music is art,245,Atm Jam feat. Pharrell (Kaytranada Edition),False,0.0,0.0
Yuna,3101,205p1,2,Earbuddy,214,Lights And Camera,False,0.0,0.0
Drake,9861,205dd,42,House of Lords,221,Come Thru (James Blake Version),False,0.5,0.0
