loved,posted_count,loved_count,artist_index_mod,speechiness,loudness,artist,title,sitename,mediaid,site_index_mod,tagsum_tree,tagsum_tree_raw
TRUE,0.067264574,0.095917454,0,0.038787,0.592433337,galapaghost,Never Heard Nothin',the steely stylus,16nnm,0,0.1,1
TRUE,0.313901345,0.690400358,0,0.031991,0.46404248,ofmonstersandmen,Little Talks,Meadow Music,179kx,0,0.5,5
TRUE,0,0.026085125,0,0.027189,0.762351379,hidetaketakayama,Sunset Song,Hilly Dilly,17pn7,0,0.3,3
TRUE,0.02690583,0.095917454,0.5,0.177321,0.732252107,hoodieallen,Dreams Up,The Smoking Section,18a02,0,0.2,2
TRUE,0.188340807,0.020373246,0,0.029389,0.717216899,odeath,Bugs,SUCKA PANTS,18kgj,0,0.2,2
TRUE,0.040358744,0.131557474,1,0.246728,0.800761861,lupefiasco,All Black Everything,Fuck yeah! Go team!,1993j,0,0.5,5
TRUE,0.139013453,0.008396726,1,0.033263,0.772422948,okkervilriver,Wake and Be Fine,Indie Rock Cafe,19p5w,1,0.3,3
TRUE,0.00896861,0.000552762,1,0.033263,0.772422948,okkervilriver,Wake And Be Fine,Salad Days Music,1a8tr,0,0.3,3
TRUE,0.044843049,0.001474033,0,0.0513,0.577859864,thefelicebrothers,Ponzi,The Key,1aajv,0,0.1,1
TRUE,0.035874439,0.002711168,0,0.045455,0.806014083,thosedarlins,Be Your Bro,Rollo & Grady,1aq2h,0,0.2,2
TRUE,0.02690583,0.007054302,1,0.026761,0.721285929,keegandewitt,Thunder Clatter,The Wounded Jukebox,1b7px,1,0.3,3
TRUE,0.058295964,0.001631965,0,0.033156,0.687175343,jolieholland,Gold and Yellow,This Is That Song,1b7zm,0,0.1,1
TRUE,0,7.90E-05,0,0.029459,0.616126053,richardbuckner,Traitor,Hyperbolium,1b90q,0,0.1,1
TRUE,0,7.90E-05,1,0.041269,0.682933164,ianmcferon,Good Morning (I'm Still Here),Richmond Playlist,1bbds,1,0.3,3
TRUE,0,0.000157932,1,0.031909,0.744834353,ianmcferon,Comfort In The Bottle,Richmond Playlist,1bbdw,1,0.3,3
TRUE,0,0.000184254,1,0.058128,0.620425949,ianmcferon,I'll Come Knockin',Richmond Playlist,1bbdx,1,0.3,3
TRUE,0.02690583,0.001474033,0,0.033745,0.753636154,theelected,Go For The Throat,Indie For Bunnies,1bbhp,0,0,0
TRUE,0.02690583,0.001131847,0.333333333,0.032284,0.496161838,williamelliottwhitmore,Everything Gets Gone,brooklynvegan,1bbvs,0,0.3,3
TRUE,0.004484305,0.087810271,0,0.131081,0.824858594,tinietempah,Till I'm Gone (Feat. Wiz Khalifa),First up!,1bc3v,0,0.4,4
FALSE,0,0,0.333333333,0.041734,0.621868868,williamelliottwhitmore,run johnny run,captain's dead,1bera,0,0.4,4
TRUE,0.269058296,0.426285173,1,0.182479,0.823271384,metric,Monster Hospital (MSTRKRFT Remix),earmilk,1bp6,1,0.7,7
TRUE,0.044843049,0.001026559,1,0.031206,0.767574743,thedevilwhale,Standing Stones,Tough Customer // Wire,1bptt,0,0.1,1
TRUE,0.094170404,0.091153168,0,0.031657,0.757330024,m83,We Own The Sky,Indie Shuffle,1cjz9,0.47826087,0.7,7
TRUE,0,0,0,0.031087,0.55483089,howardicebergthetitanics,The Wrestler,ninebullets,1csa5,0,0.5,5
TRUE,0.01793722,0.07764997,0.5,0.173701,0.686598176,hoodieallen,Song For An Actress,The Jackplug,1d7tj,0.5,0.3,3
TRUE,0.430493274,0.449290621,0,0.042391,0.500490592,neonindian,Polish Girl,Vocododo,1ddwn,0,0.8,8
TRUE,0.116591928,0.085414967,1,0.030693,0.717851783,chromeo,When the Night Falls (feat. Solange Knowles) (Mayer Hawthorne Cover),Et Musique Pour Tous,1dfpn,0.833333333,0.5,5
FALSE,0.053811659,0.2031797,0.333333333,0.031934,0.720189311,florencethemachine,What The Water Gave Me,blahblahblahscience,1dwev,0.444444444,0.8,8
TRUE,0.139013453,0.529809692,0,0.100951,0.414896687,zedsdead,Coffee Break,Muros de Absenta,1e2kk,0,0.2,2
TRUE,0.01793722,0.066831618,0.333333333,0.029107,0.726740159,thedrums,Days,The Digital Outhouse,1e7j4,1,0.6,6
TRUE,0.188340807,0.069700719,0,0.043668,0.809881104,classactress,Weekend,Thought on Tracks,1e85t,0,0.4,4
FALSE,0.147982063,0.145271248,0.5,0.037083,0.779406672,justice,Helix,Stoney Roads,1eahn,0,0.5,5
TRUE,0.076233184,0.089310626,0,0.086992,0.765496941,therapture,How Deep Is Your Love (A-Trak Remix),Nashville Nights,1epjs,0,0.6,6
TRUE,0.01793722,0.065357585,0,0.045618,0.639501327,peterandkerry,Knees,New Music Collaborative,1espa,0,0.2,2
TRUE,0.00896861,0.051670132,0,0.034849,0.84520374,camokrooked,Far Away,AudioCred,1espe,0,0.2,2
TRUE,0.031390135,0.075623174,0,0.094391,0.466091423,voltabureau,Alley Cat,Dancing Astronaut,1etbs,0,0.7,7
FALSE,0.01793722,0.166644732,0,0.167725,0.652631883,dveloped,My Dangerously Melodic Anthem,Sunset in the Rearview,1f3cm,0.545454545,0.4,4
TRUE,0,0.090152931,0,0.06249,0.743218285,madeon,Icarus,blahblahblahscience,1f545,0,0.3,3
TRUE,0.161434978,0.107235924,0,0.087685,0.778714071,theroots,Make My,AudioCred,1f5yf,0,0.3,3
TRUE,0.147982063,0.069095312,0,0.207681,0.469265843,violentfemmes,Blister in the Sun,THE VINYL VILLAIN,1faj,0,0.6,6
TRUE,0.01793722,0.129978153,1,0.393506,0.801916195,wale,Ambition (feat. Meek Mill & Rick Ross),EARMILK,1ffz9,0.692307692,0.2,2
TRUE,0.004484305,0.04943276,0,0.161852,0.860354381,saukrates,Say I,The Music Ninja,1fg3p,0,0.5,5
FALSE,0.031390135,0.119028191,0,0.043918,0.7901997,mikeposner,Looks Like Sex,Pick Up The Headphones,1g53y,0,0.5,5
TRUE,0,0.048748388,0,0.032093,0.653872792,thehorriblecrowes,sugar,The New LoFi,1g64b,0,0.3,3
TRUE,0.01793722,0.032507699,0,0.040994,0.660654508,charlottegainsbourg,Out Of Touch,Faded Glamour,1g6nk,0,0.1,1
FALSE,0.587443946,0.052723013,0,0.046927,0.655200277,lowerdens,Brains,MUSIC BETWEEN FRIENDS,1hcvp,0,0.3,3
TRUE,0.071748879,0.380116343,0,0.220486,0.684520374,klangkarussell,Sonnentanz,The Music Ninja,1jgv0,0,0.1,1
FALSE,0.013452915,0.212155511,0,0.040849,0.889847628,swedishhousemafia,Greyhound (Original Mix),EARMILK,1jphx,0,0.5,5
FALSE,0.192825112,0.10002369,0,0.107201,0.729048828,kindness,House,Genre Confused,1k8g5,0,0.4,4
FALSE,0.022421525,0.28693638,0.5,0.034642,0.800848436,hoodieallen,No Faith In Brooklyn (Feat. Jhameel),This Bonus Track,1kbc4,0.5,0.3,3
FALSE,0.022421525,0.07999263,0,0.026522,0.654219093,amadoumariam,Je pense a toi,the steely stylus,1kbzc,0,0.1,1
FALSE,0.02690583,0.038561765,0,0.053037,0.788699065,fluxpavilion,Daydreamer feat. Example (Jack Beats Remix),Salacious Sound,1krp8,0,0.2,2
TRUE,0,0.020715433,0,0.062631,0.529233522,feist,Secret Heart,This Is That Song,1krzh,0,0.8,8
FALSE,0,0.050196099,0,0.078592,0.648678287,summerheart,I Wanted You To Stay On the Other (Side),Hilly Dilly,1ks5c,0,0.4,4
FALSE,0,0.062778026,0,0.053308,0.806793259,greglaswell,Come Back Down (feat. Sara Bareilles),POP ON AND ON,1ks5y,0,0.4,4
FALSE,0.00896861,0.045773999,0,0.025336,0.684404941,ramonafalls,Proof,The Music Ninja,1ksb9,0,0.3,3
FALSE,0.00896861,0.047432287,0,0.108258,0.711964677,kidsthesedays,Darling,Simply 7,1ksca,0,0.5,5
FALSE,0.004484305,0.016582875,0,0.036522,0.80307053,nodoubt,Don't Speak,Inyourspeakers Media,1ksgh,0,0.4,4
FALSE,0.112107623,0.135584744,0.4,0.068206,0.793402978,theknocks,Learn To Fly,JayeL Audio Music,1kzak,0.277777778,0.4,4
FALSE,0.013452915,0.04253639,0,0.039768,0.742150525,saintetienne,I've Got Your Music (Golden Filter Remix),Vacay Wave,1kze6,0,0.7,7
FALSE,0.112107623,0.101813587,0,0.059843,0.78226365,ghostbeach,Miracle,KEXP Blog,1m0a7,0,0,0
FALSE,0.228699552,0.066515754,0,0.052117,0.803301397,m83,Graveyard Girl,Music For Ants,1m0ab,0,0.8,8
TRUE,0.062780269,0.117001395,0,0.387372,0.755367656,prettylights,You Get High,EARMILK,1m0jt,0,0.4,4
FALSE,0.049327354,0.101524045,0,0.03251,0.70645273,emmalouise,Boy,Let's Not Get Carried Away,1m13r,0,0.7,7
FALSE,0.02690583,0.006527862,0,0.050459,0.733117858,careful,It's Funny,KEXP Blog,1n80b,0,0.1,1
TRUE,0.01793722,0.113895396,0,0.027953,0.717678633,inthevalleybelow,Peaches,Indie Shuffle,1rmtg,0,0.1,1
TRUE,0.219730942,0.68600458,0,0.125307,0.757301166,mapei,Don't Wait,Faded Glamour,1zm6w,0,0.3,3
FALSE,0.121076233,0.172382933,0,0.036826,0.754184463,josefsalvat,Every Night,josh is listening to,204ky,0,0.5,5
TRUE,0.067264574,0.075149377,1,0.064024,0.555090615,crookedcolours,Come Down,music is art,204z0,0,0.2,2
FALSE,0.004484305,0.081545629,0,0.028325,0.805321482,yuna,Lights And Camera,Earbuddy,205p1,0,0.4,4
FALSE,0.107623318,0.079571477,0,0.045737,0.737937204,haerts,Wings (Shlohmo Remix),Cougar Microbes,20cjh,0.2,0.6,6
FALSE,0.165919283,0.053223132,0,0.03033,0.750836893,damienjurado,Silver Timothy,The Swollen Fox,20jv6,0,0.7,7
FALSE,0.215246637,0.038087968,0,0.038504,0.769767979,temples,Mesmerise,We All Want Someone To Shout For,20jvd,0,0.4,4
FALSE,0.618834081,0.3342897,0,0.035728,0.764660048,thewarondrugs,Red Eyes,Inyourspeakers Media,20xm4,0,0.4,4
FALSE,0.125560538,0.127266984,0,0.045183,0.738456655,bombaybicycleclub,Luna,SFCritic,21kgk,0,0.5,5
TRUE,0.165919283,0.028296175,0,0.03008,0.775049059,realestate,Talking Backwards,Fuzzy Logic,21rvk,0,0.5,5
TRUE,0.098654709,0.267931879,0.333333333,0.080154,0.760764169,majorlazer,Aerosol Can (feat. Pharrell Williams),Maddecent,227j1,0,0.4,4
TRUE,0.098654709,0.417467295,0,0.046778,0.682182847,miguel,Simplethings,Site of Sound,228mk,0,0.4,4
FALSE,0.031390135,0.364691637,0,0.05089,0.766824426,americanauthors,Best Day Of My Life (Just A Gent Remix),I Heart Moosiq,229ha,0,0.6,6
FALSE,0.058295964,0.003737727,0,0.027059,0.742352534,mammÌ¼t,Salt,MusikBlog,229wz,0,0.2,2
FALSE,0.179372197,0.415624753,0,0.152768,0.695630844,tourist,I Can't Keep Up (feat. Will Heard),REDEFINE magazine,22ejp,0,0.8,8
FALSE,0.206278027,0.023031771,0,0.024978,0.706741314,amendunes,Lonely Richard,Fuzzy Logic,22ksd,0,0.5,5
FALSE,0.004484305,0.004974862,0,0.033207,0.639587903,frankiecosmos,My I Love You,"Song, by Toad",22ky1,0,0,0
FALSE,0.044843049,0.008475692,0,0.040323,0.737215745,seannicholassavage,Naturally,Dots & Dashes,22m21,0,0.6,6
FALSE,0.30941704,0.171277408,0,0.050251,0.755309939,jungle,Busy Earnin',Abeano Music,22m26,0,0.1,1
FALSE,0.192825112,0.104787976,0,0.070283,0.705327254,thenightvi,Sienna,DrunkenWerewolf,236d7,0,0.2,2
FALSE,0.139013453,0.091258456,0,0.028185,0.791094309,zelladay,1965,West Coast Fix,236fk,0,0.4,4
FALSE,0.098654709,0.196362296,0,0.030203,0.776347686,porterrobinson,Sea Of Voices (RAC Mix),JayeL Audio Music,236gd,0,0.4,4
FALSE,0.121076233,0.256218578,0,0.061184,0.754184463,safia,"Paranoia, Ghosts & Other Sounds",Site of Sound,236kx,0.5,0.5,5
FALSE,0.197309417,0.355900082,0,0.027174,0.704346069,lykkeli,No Rest For The Wicked,Cougar Microbes,2374v,0.2,0.6,6
FALSE,0.147982063,0.1266879,0,0.046259,0.74206395,londongrammar,Hey Now (Bonobo Remix),Twee Huizen Verder,23781,0,0.5,5
FALSE,0.242152466,0.107815009,0,0.071183,0.691561815,benkhan,Youth,When The Gramophone Rings,237kw,0,0.2,2
FALSE,0.040358744,0.022268432,0,0.057323,0.732425257,kelis,'Runnin' (Machinedrum Remix),Indie Shuffle,23px8,0,0.5,5
FALSE,0.098654709,0.451264773,0,0.033816,0.386124899,jamesbay,Let It Go,Spectrum Culture,23wf2,0,0.5,5
TRUE,0.004484305,0.008633624,0,0.290292,0.684462657,monsterrally,Chin-don-ya,music islands,247x6,0,0.5,5
FALSE,0.049327354,0.004079914,0,0.079021,0.643137481,tanyatagaq,Uja,Chicago Reader,24s65,0,0.2,2
FALSE,0,0.009317996,0,0.361603,0.698718689,fatima,Biggest Joke Of All,Don't Need No Melody,24te4,0,0,0
FALSE,0.134529148,0.050169777,0,0.026515,0.737706337,sinkane,Hold Tight,JayeL Audio Music,24y1z,0,0.6,6
FALSE,0.053811659,0.178094812,0,0.031005,0.810429412,olivver,Lucy (Hurt People Hurt People),Operation Every Band,2583z,0,0,0
FALSE,0.058295964,0.009160064,0,0.030966,0.618665589,stevegunn,Milly's Garden,Earbuddy,25e7m,0,0.2,2
FALSE,0.062780269,0.096022742,0,0.077362,0.742323675,rlgrime,Core,No Country For New Nashville,25hg1,0,0.3,3
FALSE,0.004484305,0.295491037,0,0.031825,0.376024472,vancejoy,Mess Is Mine,Hillydilly,25mg3,0,0.4,4
TRUE,0.080717489,0.212787239,0,0.029364,0.81328639,spoon,Inside Out,Tuneage,25mvj,0,0.5,5
FALSE,0.224215247,0.500092127,0,0.028062,0.77115318,banks,BEGGIN FOR THREAD,Inyourspeakers Media,25mxa,0,0.5,5
FALSE,0.062780269,0.171330052,0,0.063321,0.754530763,dawngolden,All I Want (Manila Killa Remix),First Ear,25nbf,0,0.5,5
FALSE,0.192825112,0.277486773,0,0.275413,0.793056678,rustie,Attak (feat. Danny Brown),IHEARTCOMIX,25pza,0,0.2,2
TRUE,0.116591928,0.579821537,0.4,0.044983,0.855448459,theknocks,Classic (feat. Powers),SFCritic,25xk6,0.5,0.8,8
FALSE,0.139013453,0.026216736,0,0.028288,0.588624033,seaoleena,If I'm,Just Music That I Like,25z92,0,0.4,4
FALSE,0.089686099,0.012897792,0,0.036579,0.733868175,allodarlin,Romance And Adventure,Berkeley Place,260dr,0,0.3,3
FALSE,0.00896861,0.018109552,0,0.046152,0.755713956,starfoxxx,Bae HD,Electric Panda Music,2651y,0,0.2,2
FALSE,0.004484305,0.010765708,0.333333333,0.81781,0.327513563,thedrums,I Can't Pretend,KEXP Blog,265r5,0,0.5,5
FALSE,0.089686099,0.558737596,0,0.030336,0.834699296,coldwarkids,First,Never Radio,26a2r,0,0.5,5
FALSE,0.134529148,0.060935485,0,0.087956,0.80113702,haerts,Giving Up,Indie Obsessive,26by0,0,0.5,5
FALSE,0.183856502,0.028348819,0,0.045251,0.637683251,aphextwin,minipops 67 (120.2)(source Field Mix),Wondering Sound,26dqh,0,0.4,4
FALSE,0.053811659,0.227896081,0,0.071726,0.868232714,oliver,Light Years Away,JayeL Audio Music,26gx7,0,0.8,8
FALSE,0.206278027,0.111684346,0,0.295742,0.743622302,runthejewels,Oh My Darling Don't Cry,Too Much Love Magazine ,26khp,0,0.3,3
TRUE,0.053811659,0.003632439,0,0.057434,1,mitski,Townie,Music Broke My Bones,26mqp,0,0,0
FALSE,0.080717489,0.145244926,0,0.037439,0.80765901,matingritual,Toxins,Audio Drums,26ngg,0,0,0
FALSE,0.035874439,0.063436077,0,0.109205,0.696727462,kp,where did you go,I Heart Moosiq,26px0,0,0,0
FALSE,0.00896861,0.053012556,0,0.035884,0,aphextwin,Aisatsana,said the gramophone,26qkp,0.5,0.4,4
FALSE,0.143497758,0.062146298,0,0.04361,0.781571049,yellerkin,Tools,Operation Every Band,26rsp,0,0.3,3
FALSE,0.01793722,0.072096023,0,0.03668,0.743247143,jaymesyoung,What Should I Do,Sunset in the Rearview,26txn,0.545454545,0.5,5
FALSE,0.02690583,0.061461925,0,0.083589,0.83426642,dirtysouth,Unbreakable (Elephante Remix),Dancing Astronaut,26tye,0,0.5,5
FALSE,0.098654709,0.053407386,0,0.107619,0.662645735,thrupence,Silk,Deftune,26w7s,0,0.5,5
FALSE,0.013452915,0.161880445,0,0.033364,0.420004617,lorde,Yellow Flicker Beat,Earbuddy,26wg0,0,0.5,5
FALSE,0.031390135,0.163986207,0,0.032238,0.638318135,jaymesyoung,I'll Be Good,Ladywood ,26x11,0,0.5,5
TRUE,0.152466368,0.075912716,0,0.484973,0.806706684,misun,Superstitions,Substance is meaningless ,27bhr,0,0.5,5
FALSE,0.103139013,0.019346687,0,0.038651,0.652978183,natalieprass,Why Don't You Believe In Me,The Swollen Fox,27cmn,0,0.5,5
TRUE,0.201793722,0.039956832,0,0.03304,0.642444881,fatherjohnmisty,Bored In The USA,barrygruff,27msa,0,0.4,4
FALSE,0.040358744,0.131004712,0,0.033949,0.620108507,rÌ¦yksopp,Thank You,music is art,27mzc,0,0.4,4
FALSE,0.049327354,0.040746493,0,0.02799,0.714417638,vaults,Poison,Little Indie Blogs,27nrm,0,0.5,5
FALSE,0.049327354,0.132531389,0,0.054212,0.766997576,cassian,Running (Plastic Plates Remix),Beautiful Buzzz,28adb,0,0.6,6
FALSE,0.188340807,0.048116659,0.25,0.044432,0.809996537,toroymoi,Empty Nesters,KEXP Blog,28ykp,0,0.5,5
FALSE,0.381165919,0.214577137,0,0.040427,0.796606256,unknownmortalorchestra,Multi-Love,Sunset in the Rearview,29adb,0.545454545,0.6,6
FALSE,0.107623318,0.094943539,0,0.060168,0.726249567,lapalux,Don't Mean A Thing,music is art,29q40,0,0.4,4
FALSE,0.080717489,0.125687663,0.4,0.047998,0.779724114,theknocks,Dancing With Myself,JayeL Audio Music,29s5a,0.277777778,0.7,7
TRUE,0.013452915,0.014187571,0,0.0429,0.361912732,courtneybarnett,Depreston,said the gramophone,29w6h,0,0.6,6
TRUE,0.417040359,0.369561212,0.333333333,0.044291,0.46773635,tameimpala,Let It Happen,barrygruff,2a1mf,0.5,0.5,5
FALSE,0.103139013,0.379089784,0,0.10367,0.742958559,nombe,California Girls,El Tino,2a2ak,0,0,0
FALSE,0.040358744,0.105472349,0.4,0.048105,0.817182269,theknocks,Collect My Love feat. Alex Newell,JayeL Audio Music,2aews,0.277777778,0.7,7
FALSE,0,0.027532837,0.333333333,0.033739,0.804455731,tameimpala,Cause I'm A Man,Indie Shuffle,2ahss,0.47826087,0.5,5
FALSE,0.089686099,0.450764655,0.833333333,0.074603,0.804138289,ratatat,Cream on Chrome,The Wandering Lamb,2ap7v,0.5,0.4,4
FALSE,0.179372197,0.072490853,0,0.064023,0.439022279,wolfalice,Bros,newmusic.cz,2asey,0,0.5,5
FALSE,0.013452915,0.020847043,0.333333333,0.033739,0.804455731,tameimpala,Cause I'm a Man,barrygruff,2atnn,0.5,0.5,5
FALSE,0.295964126,0.125898239,0,0.053913,0.867309246,unknownmortalorchestra,Can't Keep Checking My Phone,Loud and Quiet,2avcn,0,0.6,6
FALSE,0.094170404,0.310020794,0,0.140892,0.832910077,alessia,HERE,J(am) of the Day,2b0gs,0,0.4,4
TRUE,0.121076233,0.019925772,0,0.126538,0.796433106,cayucas,Moony Eyed Walrus,blahblahblahscience,2b1kk,0,0.3,3
FALSE,0.098654709,0.100997605,0,0.082446,0.619646774,astronautsetc,No Justice,The Music Court,2b54c,0,0.3,3
TRUE,0.139013453,0.037561528,0,0.027887,0.761947362,ducktails,Headbanging In The Mirror,The Wandering Lamb,2b5et,0,0.3,3
FALSE,0.035874439,0.100365876,0,0.032802,0.709742583,‰Û¢‰Ñ_hopium‰Ñ_‰Û¢,Right Now,Stereofox,2b5pr,0,0,0
FALSE,0.058295964,0.053538996,0,0.044915,0.758772942,honne,Top To Toe,Musicgeeks,2b5tf,0,0.5,5
FALSE,0.031390135,0.014029639,0,0.034462,0.678633268,doepaoro,The Wind (feat. Adam Rhodes),Northern Transmissions,2b8vq,0,0.3,3
FALSE,0.035874439,0.14269169,0,0.03956,0.756435415,gigamesh,The Music,The Jackplug,2b9xa,0,0.5,5
FALSE,0.00896861,0.139348793,0,0.041073,0.797472007,astrids,2AM (Matoma Remix),JayeL Audio Music,2b9zs,0,0,0
FALSE,0.134529148,0.245479192,0,0.057972,0.862893917,powers,Beat Of My Drum,blahblahblahscience,2ba6t,0,0,0
TRUE,0.00896861,0.190281909,0,0.037115,0.751673785,sia,California Dreamin,Your Music Radar,2bbc8,0,0.5,5
FALSE,0.022421525,0.057434656,0,0.042606,0.755598522,rihanna,Bitch Better Have My Money (Claude VonStroke Remix),THUMP,2bfw2,0,0.5,5
TRUE,0.044843049,0.151456924,0,0.05357,0.810660279,cheerselephant,Airliner,Noonday Tune,2bfxf,0,0.6,6
FALSE,0.031390135,0.471822274,0.333333333,0.031945,0.772018931,majorlazer,Be Together (feat. Wild Belle),Musikfar,2bmb6,0,0.4,4
TRUE,0.107623318,0.055986944,0,0.048199,0.802637654,hibou,Dissolve,blahblahblahscience,2bmqa,0,0.4,4
FALSE,0.031390135,0.125345477,0,0.058657,0.838104583,lawrencetaylor,Bang Bang,Gobsmag,2bw9n,0,0,0
TRUE,0.049327354,0.190176621,0.833333333,0.031274,0.746421563,ratatat,Abrasive,The Wandering Lamb,2bwhp,0.5,0.4,4
FALSE,0.125560538,0.039246137,0,0.08788,0.761399053,skylarspence,Can't You See,acid stag,2bwjt,0,0.4,4
FALSE,0.098654709,0.074122819,0,0.158294,0.700825349,chetfaker,Bend,Berkeley Place,2bwyg,0.5,0.3,3
FALSE,0.031390135,0.056171198,0,0.050128,0.767141868,favorednations,Always,Audio Drums,2by5n,0,0.3,3
TRUE,0.107623318,0.042746966,0,0.027429,0.79513448,compny,Gently Let You Down,Little Indie Blogs,2bzm1,0,0.3,3
TRUE,0.02690583,0.016451265,0,0.035446,0.738687522,dusky,Skin Deep,Y Este Finde Que,2bznk,0,0.5,5
FALSE,0.049327354,0.026953752,0,0.073729,0.705702413,janetjackson,No Sleeep,Soul Motion,2bzsd,0,0.5,5
FALSE,0.040358744,0.025979837,0,0.037004,0.726076417,shura,White Light (Gabe Gurnsey Factory Floor Remix),DIY,2bzty,0,0.4,4
FALSE,0.02690583,0.022952805,0,0.054351,0.742958559,moullinex,Take A Chance (Satin Jackets Remix),Y Este Finde Que,2c03e,0,0.4,4
FALSE,0.076233184,0.047169066,0,0.032536,0.768498211,kaptan,Anywhere We Go,No Country For New Nashville,2c05m,0,0.1,1
TRUE,0.112107623,0.170329815,0,0.07819,0.573906268,klyne,Paralyzed,Silver Soundz,2c09d,0,0,0
FALSE,0.040358744,0.055170962,0,0.090481,0.682817731,baile,Matter (feat. Felicia Douglass),Indie Shuffle,2c09y,0,0.1,1
FALSE,0.031390135,0.051406912,0,0.045242,0.51162992,atlasgenius,Molecules,Buzzbands.LA,2c0ff,0,0.5,5
FALSE,0.103139013,0.062146298,0,0.046021,0.783879718,willjosephcook,Beach,Queen Beetch,2c0vf,0,0,0
FALSE,0.053811659,0.069516464,0,0.031169,0.747691331,flor,warm blood,Oh My Rock,2c135,0,0.8,8
FALSE,0.022421525,0.034718749,0,0.121638,0.795365347,michaelcalfan,Mercy (Original Mix),Inyourspeakers Media,2c14y,0,0.5,5
FALSE,0.035874439,0.078097444,0,0.04301,0.766506984,saintmotel,My Type (Eau Claire Remix),Vocododo,2c15e,0,0.4,4
FALSE,0.062780269,0.018741281,0,0.055046,0.820385548,pandabear,Crosswords (Pete Rock Remix),surviving the golden age,2c1g8,0,0.4,4
FALSE,0.00896861,0.088310389,0,0.030685,0.787919889,sandervandoorn,Ori Tali Ma (LVNDSCAPE Remix),ACIDTED,2c2mh,0,0.2,2
FALSE,0.022421525,0.082177358,0,0.128545,0.833227519,dillonfrancis,Bruk Bruk (I Need Your Lovin),Waxhole,2c2wx,0,0.5,5
FALSE,0.049327354,0.057697876,0,0.029396,0.725210666,zimmer,Heartbreak Reputation (feat. Polina),Absolute Bassline,2c369,0,0.3,3
FALSE,0,0.052801979,0,0.326636,0.748932241,meekmill,R.I.C.O feat. Drake,House of Lords,2c3b0,0,0.2,2
