artist,loved_count,mediaid,posted_count,sitename,time,title,loved,tags,artist_index_mod,site_index_mod
dillydally,0.0171619594114,2caag,0.121076233184,Escafandrista Musical,216,Desire,False,"garagerock,postpunk,indie,femalevocalist,tokyopoliceclub,ska,ekb",0.0,0.0
mr•car/\\ack,0.0108183517149,2c9gy,0.00896860986547,HUNGRY DRUMS,244,"kehlani, jealous (carmack remix)",False,"trap,chilltrap,underground,bass,vaporwave,futuresoul,,atmospheric,chill,beats",0.0,0.0
chvrches,0.198757600484,2cbmq,0.174887892377,Sounds Good To Me Too,238,Leave A Trace,False,"synthpop,electronic,electropop,indie,femalevocalist",0.0,0.0
filous,0.160695954305,2caey,0.00448430493274,CHROMEMUSIC,259,Better Off feat. Josh Roa & Bishøp,False,"chillout,house,electronic",0.0,0.5
mgmt,0.148587823432,dqmq,0.300448430493,Unpiano,303,Kids,False,"electronic,indie,dance,alternative,electro,synthpop,psychedelic,mgmt,pop,indietronica",0.666666666667,0.0
sonnengrussfeatmattkovac,0.254533968572,2ccaj,0.0134529147982,Vocododo,178,Day & Night (Deep Chills Remix),False,,0.0,0.0
layla,0.215577373588,246ew,0.0403587443946,manalogue.,206,SmokeStacks (DIMOND SAINTS Rework),False,"aussiehiphop,femalemc,hiphop,australian,rap,undergroundhiphop,femalevocals,femalevocalist",0.0,0.0
nombe,0.379089784423,2a2ak,0.103139013453,El Tino,217,California Girls,False,,0.0,0.0
lane8,0.0382985443921,2cbga,0.0358744394619,Y Este Finde Que,368,Loving You feat. Lulu James (Moon Boots Remix),False,"house,chillwave,electronic,electronica,synthpop,deephouse",0.0,0.0
cloves,0.0600931799637,2c9kx,0.103139013453,Lie In The Sound,244,Don't You Wait,False,"rock,ambient,pop,electronic,alternative,scottish,glasgow,australian,drone,dronedoom",0.0,0.0
thechainsmokers,0.131004711642,2cc8v,0.0358744394619,Write.Click.Cook.Listen ,211,Waterbed feat. Waterbed,False,"electronic,pop,electrohouse,house,american,selfie,instagram,unitedstates,alternativedance",0.0,0.0
savannahouten,0.0885999315627,2cb89,0.0358744394619,CLICK AND LISTEN IT,222,Boys (Golden Coast Remix),False,"pop,femalevocalist,disney,singersongwriter,youtube",0.0,0.0
thewhitepanda,0.319838909215,2cdd0,0.0134529147982,Cause=Time,195,Lean On To The Next One (Jay Z // Major Lazer & DJ Snake),False,,0.7,0.5
trailsandways,0.053249453818,2c71y,0.0358744394619,Remy's Music & Film Blog,319,Downright feat. Harriet Brown (Falcon Punch Remix),False,"indie,electronic,tropicalia",0.0,0.0
tribesociety,0.0902318970282,2capy,0.0269058295964,Azltron,292,Pain Told Love (feat. Kiesza),False,,0.0,0.0
mgmt,0.00315864283646,j29q,0.0134529147982,Rollo & Grady,284,Time To Pretend (DMoeFunk Club Mix),False,"electronic,indie,psychedelic,alternative,indiepop",0.666666666667,0.75
santogold,0.0866784238372,j2hh,0.0448430493274,Dancing Astronaut,278,Starstruck (Diplo Remix),False,"electronic,indie,alternative,femalevocalist,dub",0.0,0.3
bikini,0.00837040351662,hb6c,0.0358744394619,Mp3 Medication,205,1234 (Feist Cover),False,coverongs,0.0,0.0
mstrkrft,0.00415887973467,j4k4,0.00896860986547,Smetnjak,218,Bounce (High Powered Boys Remix),False,"electronic,electro,dance,canadian,electronica",0.0,0.0
ladytron,0.0178989760733,j34k,0.067264573991,djnodj,288,Seventeen (Soulwax Mix),False,"electronic,electroclash,electropop,synthpop,electronica,electro",0.0,0.0
lykkeli,0.0447737622068,hs2v,0.0896860986547,Mixtape Riot,280,Little Bit (CSS Remix),False,,0.0,0.0
classactress,0.0569082151036,2c9yf,0.0313901345291,Electric Panda Music,276,GFE (SNBRN Remix),False,"synthpop,electronic,newwave,electropop,femalevocalist",0.0,0.0
sundarakarma,0.188149824959,2c9pg,0.0358744394619,blahblahblahscience,263,Flame (Roosevelt Remix),False,"indie,indierock,chillrock,psychodelicpop",0.0,0.0
lane8,0.0620146876892,2c7mp,0.0269058295964,The Mahogany Blog,288,Undercover feat. Matthew Dear,False,"house,chillwave,electronic,electronica,synthpop,deephouse",0.0,0.0
mabel,0.0469584901687,2ca1j,0.134529147982,SoulBounce,230,Know Me Better,False,"dance,disco,eurodance,pop,whitelion,italian,synthpop,italia,miketramp",0.0,0.0
jamiexx,0.0470374562396,2c93r,0.0448430493274,THUMP,252,Loud Places (John Talabot Remix),False,"electronic,dubstep,futuregarage,ukgarage,wonky",0.0,0.2
chinah,0.1265036456,2c6q7,0.139013452915,Musicgeeks,236,away from me,False,,0.0,0.0
sandervandoorn,0.0883103893027,2c2mh,0.00896860986547,ACIDTED,262,Ori Tali Ma (LVNDSCAPE Remix),False,"trance,progressivetrance,electronic,techtrance,techno",0.0,0.0
chvrches,0.222421099734,1zepg,0.165919282511,surviving the golden age,318,The Mother We Share (Moon Boots Remix),False,"synthpop,indie,electronic,electropop,femalevocalist",0.0,0.5
babybash,0.0347187491774,2c74b,0.0134529147982,Kick Kick Snare,266,"Baby, I'm Back feat. Akon (Christofi Remix)",False,"hiphop,rhythmandblues,rap,pop",0.0,0.0
disclosure,0.0344818509647,2c5m5,0.0941704035874,strictlysocial,394,Holding On (Julio Bashmore's Elevated Mix),False,"electronic,ukgarage,futuregarage,house,dubstep",0.0,0.0
laurel,0.0916796083283,2c718,0.0807174887892,Kick Kick Snare,236,Blue Blood,False,"southernrock,hardcore,indie,metalcore,femalevocalist",0.0,0.0
nicolasjaar,0.048458845516,2c814,0.0134529147982,Planeta Pop,360,Tourists (Creange remix),False,"minimal,electronic,deephouse,house,techno",0.0,0.0
camelpowerclub,0.0799926298334,2c61e,0.00896860986547,Audio Aquarium,291,Laïka (Hannes Fischer Remix),False,,0.0,0.0
youthlagoon,0.015161485615,2ca75,0.0,Side One Track One,206,The Knower,False,"dreampop,lofi,indie,chillwave,glofi",0.0,0.0
jackj,0.00718591245295,2c6q3,0.0179372197309,ERRANT,341,Thirstin',False,"house,deephouse,disco",0.0,0.0
hotchip,0.0322971230028,2c8za,0.0179372197309,gottadancedirty,375,Need You Now (Moonlight Matters remix),False,"electronic,indie,electropop,electronica,electro",0.0,0.0
macdemarco,0.0325866652628,2cagm,0.152466367713,"Quick, Before It Melts.",167,I've Been Waiting For Her,False,"lofi,indie,postpunk,experimental,80sinfluenced",0.0,0.0
maximumballoonfeatkarenotundeadebimpe,0.0906004053592,2c8mh,0.0762331838565,The Revue,371,LET IT GROW,False,,0.0,0.0
gordi,0.0742544286805,2c6s3,0.0762331838565,art felicis,261,Can We Work It Out,False,"heavymetal,hardrock,serbian,progressiverock",0.0,0.0
ought,0.0238477534153,2c6pn,0.156950672646,Overblown Webzine,464,Beautiful Blue Sky,False,"postpunk,indierock,artpunk,canada,indie",0.0,0.0
thomasjack,0.0682003632439,2c8w1,0.00448430493274,Dancing Astronaut,208,Rivers,False,"tropicalhouse,deephouse",0.0,0.3
giraffageviceroy,0.150035534732,2c8y2,0.0538116591928,Disco Filter,216,Impression Of You (feat. Patrick Baker),False,,0.0,0.0
kiiara,0.15364165197,2c8bm,0.0134529147982,Dancing Astronaut,225,Gold (Hippie Sabotage Remix),False,,0.0,0.3
griz,0.205785580795,2c87x,0.0269058295964,Stereofox,267,Summer '97 feat. Muzzy Bearr,False,"electronic,dubstep,instrumental,chillout,glitchhop,glitchhop",0.0,0.0
taku,0.128030322971,2c7sr,0.0493273542601,Casual Band Blogger,216,Down For You feat. Alina Baraz,False,"hiphop,instrumentalhiphop,beats,instrumental,australian",0.0,0.0
ratatat,0.450764654787,2ap7v,0.0896860986547,The Wandering Lamb,236,Cream on Chrome,False,"electronic,instrumental,indie,electronica,alternative",0.833333333333,0.5
mkfeatmillypye,0.0404569503303,2c5mc,0.0179372197309,Indie Shuffle,204,Bring Me To Life (Radio Edit),False,,0.0,0.0
majidjordan,0.104393145745,2c8tv,0.0762331838565,Grooves 'N Jams,249,My Love feat. Drake,False,"electronic,soul,rhythmandblues,experimental,alternative",0.0,0.0
flightfacilities,0.225105946145,26fc6,0.215246636771,Silence Nogood,454,Two Bodies feat. Emma Louise (Extended Version),False,,0.0,0.583333333333
zzward,0.146218841305,2c6b3,0.0538116591928,MCL: Musique au Claire de Lune,192,LOVE 3X (RAC Mix),False,"soul,blues,femalevocalist,hiphop,r&b",0.0,0.0
atlasgenius,0.0514069121634,2c0ff,0.0313901345291,Buzzbands.LA,249,Molecules,False,"indierock,electronic,indie,synthpop,australian",0.0,0.0
dillonfrancis,0.0821773577953,2c2wx,0.0224215246637,Waxhole,193,Bruk Bruk (I Need Your Lovin),False,"moombahton,dubstep,electrohouse,electro,electronic,electronica",0.0,0.0
kaptan,0.0471690663578,2c05m,0.0762331838565,No Country For New Nashville,242,Anywhere We Go,False,electronic,0.0,0.0
zimmer,0.0576978758127,2c369,0.0493273542601,Absolute Bassline,256,Heartbreak Reputation (feat. Polina),False,"nudisco,electronic,indie,german",0.0,0.0
meekmill,0.0528019794162,2c3b0,0.0,House of Lords,199,R.I.C.O feat. Drake,False,"hiphop,rap,philly,meekmill",0.0,0.0
flor,0.0695164644258,2c135,0.0538116591928,Oh My Rock,246,warm blood,False,"indie,rock,punk,hardcore,pop,singersongwriter,alternative,alternativepop,american,synthpop",0.0,0.0
a$aprocky,0.128714695586,2c367,0.00448430493274,Dancing Astronaut,292,LSD (Shemce Remix),False,"hiphop,rap,undergroundhiphop,swag,newyork",0.0,0.0
phfatalbairre,0.005948777342,2c3hh,0.0,Indie Shuffle,211,Caviar Dreams,False,,0.0,0.0
pools,0.0111078939749,2a90h,0.00896860986547,Delicieuse Musique,129,☕ coffee in the morning ☕,False,"hardcore,jdbeatty,brettlane,2009,garagepsychedelic,robbyfronzo,5432fun,tempe,60sgarage,shitcore",0.0,0.0
ills,0.0200837040352,2c1kb,0.0807174887892,I Oh You,246,Keep,False,"experimental,electronic,indie,downtempo,kidaesque",0.0,0.0
doepaoro,0.0140296385986,2b8vq,0.0313901345291,Northern Transmissions,246,The Wind (feat. Adam Rhodes),False,"soul,electronic,cosmicdubstep,indiepop",0.0,0.0
lawrencetaylor,0.12534547656,2bw9n,0.0313901345291,Gobsmag,184,Bang Bang,False,,0.0,0.0
onetcoolt,0.031270564081,2bxam,0.0224215246637,The French Shuffle,232,The Magic Key (LeMarquis & FAB Remix),False,"pop,hiphop",0.0,0.0
zeddfeatselenagomez,0.0494327603906,2bxcb,0.00896860986547,Music You Wanna Listen To,242,I Want You To Know (Steve James Remix),False,,0.0,0.0
wolfalice,0.0724908530968,2asey,0.179372197309,newmusic.cz,225,Bros,False,"bombelki,indie,alternativerock,indierock,alternative,epic,perfect,2013,2013single,hammerstimmer",0.0,0.0
oliver,0.227896080651,26gx7,0.0538116591928,JayeL Audio Music,344,Light Years Away,False,"60s,house,psychedelic,electronic,pop,disco,nudisco,psychedelicrock,american",0.0,0.0
tameimpala,0.0208470427206,2atnn,0.0134529147982,barrygruff,247,Cause I'm a Man,False,"psychedelicrock,psychedelic,indierock,australian,rock",0.333333333333,0.5
toroymoi,0.0128977915822,2c2fa,0.067264573991,Noonday Tune,93,That Instead of This,False,"chillwave,electronic,lofi,psychedelic,electronica",0.25,0.25
pandabear,0.0187412808297,2c1g8,0.0627802690583,surviving the golden age,211,Crosswords (Pete Rock Remix),False,"experimental,psychedelic,freakfolk,indie,folk",0.0,0.0
wavvesxcloudnothings,0.016398620726,2c321,0.0762331838565,DIY,200,No Life For Me,False,,0.0,0.0
michaelcalfan,0.0347187491774,2c14y,0.0224215246637,Inyourspeakers Media,254,Mercy (Original Mix),False,"house,progressivehouse,club,dance,electrohouse",0.0,0.0
baile,0.0551709615435,2c09y,0.0403587443946,Indie Shuffle,296,Matter (feat. Felicia Douglass),False,electronic,0.0,0.0
tydolla$ign,0.0582506383091,2c24a,0.0448430493274,Pitchfork,286,Blasé feat. Future & Rae Sremmurd,False,"hiphop,rhythmandblues,rap,bitchhouse",0.0,0.0
gibbzmusic,0.0301123950409,2c12f,0.0627802690583,CLICK AND LISTEN IT,211,I Found You,False,,0.0,0.0
robyn,0.125292832513,2c3tm,0.0179372197309,acid stag,215,Call Your Girlfriend (Thero & Taylor Wise Remix) (Feat. Allison Weiss),False,"pop,electronic,swedish,femalevocalist,dance",0.0,0.125
rlgrime,0.0960227422284,25hg1,0.0627802690583,No Country For New Nashville,237,Core,False,"stonerrock,psychedelicrock,stoner,rock,psychedelic",0.0,0.0
unknownmortalorchestra,0.0142138927641,2aade,0.0313901345291,Cause=Time,192,Multi-Love (20syl Remix),False,"lofi,psychedelic,indierock,indie,alternative,psychedelicrock",0.0,0.5
amendunes,0.0230317706825,22ksd,0.206278026906,Fuzzy Logic,319,Lonely Richard,False,"lofi,psychedelic,folk,experimental,garagerock,psychedelicrock",0.0,0.0
tameimpala,0.0275328367245,2ahss,0.0,Indie Shuffle,243,Cause I'm A Man,False,"psychedelicrock,psychedelic,indierock,australian,rock",0.333333333333,0.478260869565
blackrebelmotorcycleclub,0.0704377352531,zjt7,0.14798206278,Shelter From the Norm,226,Beat The Devil's Tattoo,False,"psychedelicrock,rock,alternativerock,indierock,2010s,psychedelic,indie,garagerock,alternative,fuckyeah",0.0,0.0
thebesnardlakes,0.0158985022769,yqkf,0.488789237668,scruffy the yak,282,Albatross,False,"animalkingdom,indie,canadian,2010s,psychedelicrock,shoegaze,alternative,magicfemalevoice,animals,warmveins",0.0,0.0
theknocks,0.178489642284,1t7dh,0.0269058295964,aerial noise,276,The Feeling (Dave Edwards Remix),False,"electronic,streetpunk,synthpop,indiedance,punk,electronica,dance,disco,nudisco,house",0.4,0.0
theknocks,0.167908188782,1696z,0.085201793722,Berkeley Place,219,Dancing With The DJ (Chiddy Bang Remix),False,rohitcagarwal,0.4,0.5
honne,0.053538996078,2b5tf,0.0582959641256,Musicgeeks,272,Top To Toe,False,"indie,electronic,deephouse,neosoul,dreampop,listen",0.0,0.0
matrimony,0.0615672132874,29gay,0.0358744394619,Audio Aquarium,260,Giant (Ghosts Remix),False,"altcountry,punkrock,killrockstars,grunge,country,folk,punk,femalevocalist,needtocheck,artpunk",0.0,0.0
natalieprass,0.0193466873733,27cmn,0.103139013453,The Swollen Fox,213,Why Don't You Believe In Me,False,"indie,altcountry,americana,kickasstic,payattention,nashville,recommended,folk,femalevocalist,spacebomb",0.0,0.0
theknocks,0.105472348714,2aews,0.0403587443946,JayeL Audio Music,197,Collect My Love feat. Alex Newell,False,"electronic,synthpop,streetpunk,indiedance,punk,dance,electronica,house,nudisco",0.4,0.277777777778
temples,0.038087968203,20jvd,0.215246636771,We All Want Someone To Shout For,222,Mesmerise,False,"psychedelic,neopsych,stonerrock,indierock,indie,psychedelicrock",0.0,0.0
sinkane,0.0501697770525,24y1z,0.134529147982,JayeL Audio Music,197,Hold Tight,False,"experimental,jazz,funk,psychedelicrock,psychedelic,rock",0.0,0.0
unknownmortalorchestra,0.125898239057,2avcn,0.295964125561,Loud and Quiet,257,Can't Keep Checking My Phone,False,"lofi,psychedelic,indierock,indie,alternative,psychedelicrock",0.0,0.0
bluehawaii,0.0387723408176,27ams,0.0627802690583,What Else Is There?,264,Get Happy,False,"dreampop,chillwave,lofi,ambient,experimental",0.0,0.0
chetfaker,0.0741228185623,2bwyg,0.0986547085202,Berkeley Place,206,Bend,False,"downtempo,lofi,postdubstep,smooth,shoegazehiphop,electronic",0.0,0.5
skylarspence,0.039246137243,2bwjt,0.125560538117,acid stag,246,Can't You See,False,"house,electronic,vaporwave,lofi,chillwave",0.0,0.0
toroymoi,0.0370350872575,2btxp,0.0313901345291,acid stag,145,room for 1zone,False,"chillwave,electronic,lofi,psychedelic,electronica",0.25,0.125
thechainsmokers,0.138664420521,2b9jx,0.0224215246637,EDM Girl,253,Let You Go (Steve James Remix),False,"electronic,pop,electrohouse,house,american,selfie,instagram,unitedstates,alternativedance",0.0,0.0
unknownmortalorchestra,0.21457713669,29adb,0.381165919283,Sunset in the Rearview,251,Multi-Love,False,"lofi,psychedelic,indierock,indie,alternative,psychedelicrock",0.0,0.545454545455
lapalux,0.0949435392593,29q40,0.107623318386,music is art,349,Don't Mean A Thing,False,"futuregarage,electronic,dubstep,experimental,lofi",0.0,0.0
vaults,0.0407464925904,27nrm,0.0493273542601,Little Indie Blogs,204,Poison,False,"indie,dreampop,noise,shoegaze,postpunk,darkwave,indiepop,british,schlaumachen,bandswelike",0.0,0.0
toroymoi,0.0481166592088,28ykp,0.188340807175,KEXP Blog,222,Empty Nesters,False,"chillwave,electronic,lofi,psychedelic,electronica",0.25,0.0
